Type_intervention,Description,Plage_horaire,Latitude,Longitude
HeroX,Extraction en zone hostile,21:00-00:00,49.26240137366217,6.418262412952118
HeroP,Séquestration,07h00-11h00,48.91801121438567,6.690452745250161
Gendarmerie,Enquête judiciaire,21:00-00:00,49.04487508977565,6.293168354898338
Police,Agression à l'arme blanche,21:00-04:30,49.38915995278322,6.527688192907311
Pompiers,Incendie industriel,21:00-00:00,49.376138931022055,6.103160301592937
Police,Cambriolage,21:00-00:00,49.39444507996007,6.730224935100244
Pompiers,Feu de forêt,12h00-18h00,49.18690248994915,6.149928728595067
Civil,Problème de voirie,00:00-03:00,49.21118820253968,6.806733968209155
Gendarmerie,Enquête judiciaire,21:00-04:30,49.100571468402045,6.10628373797018
HeroX,Désamorçage d'engin explosif,03:00-06:00,49.12518983717264,6.738633976945684
Police,Tentative de meurtre,07h00-11h00,49.182800108319896,6.465524790223581
Pompiers,Fuites chimiques,07h00-11h00,49.11310587935996,6.090023117709488
HeroX,Désamorçage d'engin explosif,03:00-06:00,49.08607717246412,6.057909128386379
HeroY,Crime économique,21:00-04:30,49.210285141177415,6.426921814759197
HeroZ,Sécurisation après une prise d'otages,03:00-06:00,49.2412236914515,6.577525559996713
HeroX,Règlement de compte entre gangs,03:00-06:00,49.010984815283486,6.266847536611748
Police,Évasion de prisonnier,00:00-03:00,49.31438280151811,6.656576117428034
BAC,Surveillance de quartier,21:00-04:30,49.33489288067385,6.674214604975177
HeroX,Cybercriminalité majeure,00:00-03:00,49.030211904043554,6.534137062163289
HeroZ,Attaque chimique,03:00-06:00,48.955886003617366,6.696489587044367
Douanes,Trafics transfrontaliers,12h00-18h00,49.00234243415274,6.648642195319152
Civil,Problème de voirie,21:00-04:30,49.383502357262685,6.397177126629405
Police,Recherche de personne disparue,03:00-06:00,48.999079662808526,6.510410095283882
SAMU,Accouchement inopiné,19h00-22h00,49.09924180195856,6.394259804901101
Civil,Difficultés sociales,12h00-18h00,49.11527191613035,6.655227785113883
SAMU,Brûlure grave,03:00-06:00,49.00303820915979,6.809710593765386
Pompiers,Animal dangereux,12h00-18h00,49.336505454602005,6.306784089378909
HeroP,Interception de suspects armés,21:00-00:00,49.25018557403744,6.808278159490267
Douanes,Blanchiment d'argent,19h00-22h00,49.05750766243737,6.6421721457733165
BAC,Prévention de cambriolage,07h00-11h00,49.294232080729344,6.115272675611826
HeroX,Sauvetage d'otages,09h00-12h00,49.266491156189,6.502773706067983
Police,Viol,21:00-04:30,49.28995843294366,6.122973945617663
CRS,Émeute,12h00-18h00,49.30794297462915,6.538473063719611
HeroZ,Sécurisation après une prise d'otages,00:00-03:00,48.920991029098175,6.759496292206192
HeroY,Espionnage industriel,00:00-03:00,49.35546547542906,6.173355071750632
Police,Recel,09h00-12h00,48.94044425865273,6.47444879372155
BAC,Prévention de cambriolage,21:00-04:30,49.25969468956053,6.896938236615982
HeroY,Infiltration dans une organisation violente,21:00-04:30,49.2822074838784,6.204373170540904
CRS,Rassemblement illégal,21:00-04:30,49.2083014884719,6.725629684863242
SAMU,Malaise cardiaque,03:00-06:00,48.96293123097279,6.254673133854163
Pompiers,Inondation,07h00-11h00,48.99987416371352,6.625804411750591
SAMU,Accouchement inopiné,07h00-11h00,49.2807778836882,6.693444234234047
SAMU,Electrocution,21:00-04:30,49.15934240359894,6.380142955754145
HeroY,Protection de témoin clé,21:00-00:00,49.30781719729776,6.122843760376664
Civil,Difficultés sociales,12h00-18h00,49.31491099804168,6.6283556593842885
Gendarmerie,Affaire de moeurs,00:00-03:00,49.34158528995979,6.481543961716529
CRS,Intervention en banlieue sensible,00:00-03:00,49.28513535058272,6.191190062973433
SAMU,Electrocution,12h00-18h00,49.14157744494197,6.875318433513908
Gendarmerie,Atteinte à l'environnement,03:00-06:00,49.3881397268308,6.458323432779821
BAC,Prévention de cambriolage,19h00-22h00,49.26822169899295,6.608739269616699
BAC,Proxénétisme,21:00-00:00,49.09507322547267,6.3577227639077005
HeroX,Protection de personnalité,12h00-18h00,48.920671972669375,6.3574247004902
Police,Cambriolage,07h00-11h00,49.28076996948247,6.30024756726044
Douanes,Contrebande,00:00-03:00,49.27268628886184,6.845636218434335
Douanes,Revente de stupéfiants,09h00-12h00,49.26616152929269,6.7949786709637365
Police,Délit de fuite,12h00-18h00,49.33287742807469,6.263540853274243
Pompiers,Incendie industriel,00:00-03:00,49.23479200041154,6.493781728381365
Police,Cambriolage,09h00-12h00,49.12978727331269,6.825906041409504
HeroZ,Interception de convoyeurs dangereux,21:00-04:30,49.162758764856186,6.771326745558223
HeroP,Désamorçage d'engin explosif,00:00-03:00,49.1988690011892,6.459363287960187
Civil,Signalement de maltraitance,07h00-11h00,49.14434286160383,6.743648673627339
Civil,Dispute conjugale,21:00-00:00,49.07692015947943,6.061311781499397
Police,Règlement de compte entre individus,21:00-00:00,49.34242915773838,6.099780321952415
Douanes,Saisie de produits illicites,09h00-12h00,49.0699665284151,6.810976744171765
Civil,Signalement d'incivilité,07h00-11h00,48.94221951189309,6.063645239954673
CRS,Dispersion de rassemblement,21:00-00:00,49.30061157292255,6.558657188026317
Gendarmerie,Atteinte à l'environnement,00:00-03:00,49.14722558283025,6.714488046059302
Pompiers,Incendie domestique,21:00-00:00,49.05930347798577,6.84939440788604
Police,Corruption,21:00-00:00,49.29529237580141,6.282473633707357
HeroP,Agression à l'arme blanche,21:00-04:30,49.13196883326379,6.591942564159748
HeroX,Mission sous couverture,07h00-11h00,49.105973398891,6.52437622431375
Pompiers,Inondation,21:00-00:00,49.1826253523479,6.351551053812468
Police,Tentative de meurtre,12h00-18h00,48.96102320039085,6.868981283323635
Police,Recherche de personne disparue,21:00-04:30,48.98438689153163,6.796897595509781
Gendarmerie,Braconnage,03:00-06:00,49.17953682431846,6.4610609022900976
CRS,Trouble à l'ordre public,07h00-11h00,49.00333432149175,6.788559423599534
Pompiers,Animal dangereux,21:00-00:00,49.24049923172853,6.872881469497766
SAMU,Accouchement inopiné,21:00-00:00,48.922217765195576,6.662994586918651
CRS,Rassemblement illégal,09h00-12h00,49.2282790243943,6.408263596378678
Pompiers,Effondrement de bâtiment,00:00-03:00,49.04057702941275,6.2558371465953
SAMU,Coup de chaleur,21:00-00:00,49.380578110922215,6.586040821053251
Gendarmerie,Surveillance de zone rurale,12h00-18h00,48.99015351876788,6.353288646689133
Pompiers,Incendie de véhicule,21:00-00:00,49.28880921682392,6.090690537329575
HeroX,Règlement de compte entre gangs,19h00-22h00,49.169405972920494,6.7895010304442165
HeroX,Extraction en zone hostile,12h00-18h00,49.30885515734251,6.187399418540624
CRS,Rassemblement illégal,03:00-06:00,49.31032383121622,6.692231924612292
HeroZ,Drones hostiles,03:00-06:00,49.19215028527415,6.869846934512636
BAC,Trafics de quartier,21:00-04:30,49.1758706052161,6.470023376288333
CRS,Contrôle de foule,19h00-22h00,49.24245469149752,6.512532932519193
Pompiers,Sauvetage en hauteur,21:00-00:00,49.06266476482836,6.417923092890361
Civil,Dispute conjugale,09h00-12h00,49.22754643147872,6.755954886940574
HeroY,Trafic d'influence,03:00-06:00,49.31361296837175,6.842989201412232
SAMU,Noyade,03:00-06:00,49.23001072690745,6.04259405323756
Civil,Signalement d'incivilité,21:00-04:30,49.18078298910821,6.355859373485575
Pompiers,Fuites chimiques,07h00-11h00,49.26641488339351,6.825521430368094
Police,Braquage,21:00-04:30,49.00273809864173,6.830046766305199
HeroX,Protection de personnalité,19h00-22h00,48.97975273956309,6.000013839697027
HeroZ,Drones hostiles,00:00-03:00,49.12870545663954,6.689851187990008
SAMU,Electrocution,07h00-11h00,49.22501633380646,6.3481379694566575
SAMU,Tentative de suicide,07h00-11h00,49.35824709201178,6.761415723396206
HeroZ,Mission anti-terroriste,21:00-04:30,49.04486950991184,6.686415265084431
Police,Blessures graves volontaires,21:00-00:00,49.2597165540858,6.674464100858007
HeroY,Enquête sur corruption haute niveau,21:00-00:00,49.2446690822574,6.241315643182527
Police,Vol avec violence,12h00-18h00,49.3005405323256,6.845193534258909
CRS,Intervention en banlieue sensible,12h00-18h00,49.13824081839466,6.715029565768063
Police,Port d'arme illégal,21:00-00:00,49.20715010714318,6.436685010965243
Civil,Tapage nocturne,12h00-18h00,49.14442181804374,6.174205958631298
HeroZ,Sécurisation après une prise d'otages,21:00-00:00,49.24548452776395,6.7899307059141805
BAC,Prévention de cambriolage,21:00-04:30,49.346720114653685,6.305262005556925
CRS,Sécurisation de visite officielle,03:00-06:00,49.31934373866783,6.163073181419942
Police,Vol à l'arraché,19h00-22h00,49.09690548492656,6.28731533840276
Douanes,Trafic d'armes,19h00-22h00,49.15501611684529,6.645218169545318
Police,Violences conjugales,21:00-04:30,48.95269174908018,6.594431783845997
HeroP,Intervention en banlieue sensible,09h00-12h00,49.04814458945139,6.576911861965333
Gendarmerie,Recherche en milieu rural,21:00-00:00,49.00271581884078,6.609732530942449
BAC,Règlement de compte entre individus,21:00-04:30,49.33312889065431,6.768742698127345
Civil,Médiation familiale,19h00-22h00,49.08965327547868,6.092019342799807
BAC,Interpellation de délinquant,21:00-04:30,49.04684852079327,6.3037300425863405
SAMU,Crise psychiatrique,21:00-04:30,48.9917739562847,6.267664532212499
HeroZ,Cyberattaque critique,21:00-04:30,49.272649165080566,6.659926072073136
Police,Blessures graves volontaires,07h00-11h00,49.27428635519696,6.335436690258593
Police,Délit de fuite,09h00-12h00,49.267921134768535,6.686217224868772
BAC,Recherche de véhicule volé,12h00-18h00,48.92865828455636,6.544904270262781
Police,Braquage,00:00-03:00,49.17138670042537,6.084191056997275
Pompiers,Incendie industriel,03:00-06:00,49.11396640812442,6.125622641083706
BAC,Interpellation de délinquant,19h00-22h00,49.33305617180332,6.723935172503891
SAMU,Overdose,07h00-11h00,49.16412956182223,6.249189226379142
Pompiers,Animal dangereux,03:00-06:00,48.96201031217343,6.026688602643461
Gendarmerie,Vol de voiture,00:00-03:00,49.0245517646672,6.793946215760789
SAMU,Noyade,09h00-12h00,49.31864376348977,6.0503669035216
HeroZ,Protection d'installation sensible,00:00-03:00,49.08086663467803,6.698789243220718
Civil,Plainte contre administration,21:00-04:30,49.24476556980788,6.065243351406298
BAC,Port d'arme illégal,21:00-04:30,49.140497087747455,6.558363624472087
Police,Agression à l'arme blanche,00:00-03:00,49.054210127739736,6.203500004814186
Gendarmerie,Recherche en milieu rural,00:00-03:00,49.23214394415498,6.853104267302678
Pompiers,Animal dangereux,07h00-11h00,49.29653296747637,6.217954739300673
Police,Agression à l'arme blanche,03:00-06:00,49.03000338209405,6.485893686589804
CRS,Protection de bâtiment officiel,21:00-04:30,49.19604408174367,6.832790367995718
Police,Vol à l'arraché,07h00-11h00,49.35726381124505,6.387676674598809
CRS,Événement sportif à risque,03:00-06:00,48.92420498772231,6.55900958042081
HeroY,Démantèlement de trafic de stupéfiants,21:00-04:30,49.37425778371412,6.105352835742927
SAMU,Accident corporel,21:00-04:30,49.04771018032014,6.187217424645882
BAC,Port d'arme illégal,12h00-18h00,49.0829801693017,6.826047677858102
Police,Vol à l'arraché,03:00-06:00,49.0753799285765,6.841869019252529
SAMU,Traumatisme grave,19h00-22h00,49.28616124634515,6.503103678864554
HeroY,Enquête sur corruption haute niveau,21:00-04:30,49.21139758854707,6.156711015040026
Douanes,Contrôle de marchandises dangereuses,12h00-18h00,49.14809303349431,6.674424322368889
HeroX,Cybercriminalité majeure,12h00-18h00,49.10930969832719,6.682662519879263
Police,Évasion de prisonnier,09h00-12h00,49.37204073647966,6.660608584999109
Police,Viol,12h00-18h00,49.386678407194445,6.517607798957441
SAMU,Brûlure grave,07h00-11h00,49.33548777810823,6.299565914767528
SAMU,Allergie grave,19h00-22h00,49.3889364250924,6.559315527763506
Police,Blessures graves volontaires,07h00-11h00,49.06195639219914,6.858567074971069
Pompiers,Dégagement d'urgence,12h00-18h00,49.288440835071455,6.336632211489928
Pompiers,Fuites chimiques,07h00-11h00,49.35236891819154,6.799637188361993
Police,Vol avec violence,00:00-03:00,49.36669087215558,6.019856689370662
SAMU,AVC,03:00-06:00,49.31629031580837,6.649318075542279
BAC,Port d'arme illégal,19h00-22h00,49.29897078466286,6.200277284371859
Civil,Nuissance sonore,21:00-04:30,49.33256760377857,6.539925555332026
Douanes,Trafic d'armes,19h00-22h00,49.14434264419083,6.7523903816576665
HeroY,Surveillance de cible sensible,03:00-06:00,49.220313358563686,6.192558408593282
BAC,Trafics de quartier,03:00-06:00,49.35714547868063,6.034323999720914
Police,Vol à l'arraché,12h00-18h00,49.14088851561616,6.605513711737515
HeroY,Espionnage industriel,21:00-00:00,49.028218293224896,6.636377351787872
CRS,Manifestation violente,12h00-18h00,48.90134281112152,6.851491050042895
Police,Tentative de meurtre,09h00-12h00,49.19920520930664,6.351076291274632
Civil,Conflit de voisinage,21:00-04:30,48.956379211793575,6.618309578060918
BAC,Trafics de quartier,19h00-22h00,49.03340834564021,6.034380223604812
HeroY,Démantèlement de trafic de stupéfiants,21:00-00:00,49.21031453120272,6.187899541142661
Police,Vol à l'arraché,19h00-22h00,49.33035726626076,6.735345557486801
Douanes,Contrôle de marchandises dangereuses,21:00-04:30,49.10644578944448,6.662032669618885
Police,Violences conjugales,09h00-12h00,49.19680592810082,6.034476317176514
Police,Séquestration,07h00-11h00,49.18918232938512,6.51265461677635
CRS,Sécurisation de visite officielle,09h00-12h00,48.99656873546429,6.0829694000559575
Pompiers,Fuite de gaz,21:00-04:30,49.27135726911354,6.420555129708454
BAC,Règlement de compte entre individus,21:00-04:30,48.97421413527736,6.716918854098569
BAC,Recherche de véhicule volé,09h00-12h00,48.97046481020012,6.626310807484719
SAMU,Urgence médicale,21:00-04:30,48.90234594469051,6.683665162412103
Police,Blanchiment d'argent,21:00-04:30,48.995829459282575,6.823503711164578
SAMU,Accouchement inopiné,07h00-11h00,49.25217807327402,6.229934965166417
Pompiers,Désincarcération,09h00-12h00,48.915681436328725,6.721566432621633
CRS,Rassemblement illégal,21:00-04:30,49.170985465375054,6.277589049322939
HeroP,Sauvetage d'otages,21:00-04:30,49.223515201512434,6.701191452843331
CRS,Manifestation violente,19h00-22h00,49.07050099354344,6.623738298310173
Civil,Aide aux victimes,21:00-04:30,49.12617396125991,6.0376505767981605
Pompiers,Sauvetage en hauteur,07h00-11h00,49.041297258240895,6.5598157114063325
Pompiers,Incendie de véhicule,21:00-04:30,48.995025134500686,6.290040400240735
SAMU,Chute de grande hauteur,03:00-06:00,49.217091558924274,6.487410294911444
BAC,Prévention de cambriolage,07h00-11h00,48.971431148811696,6.431632643302562
Police,Violences conjugales,09h00-12h00,48.9764568231354,6.784795363881594
Douanes,Contrôle de devises,07h00-11h00,49.00937074328035,6.832185241203117
Civil,Aide aux victimes,09h00-12h00,48.95267264032261,6.136817637294673
CRS,Trouble à l'ordre public,12h00-18h00,49.39215023721386,6.517371059052437
Pompiers,Ascenseur bloqué,12h00-18h00,49.24029774551307,6.0105521871844
HeroY,Démantèlement de trafic de stupéfiants,21:00-00:00,48.97757473593219,6.758043006059161
Police,Blessures graves volontaires,12h00-18h00,49.16983168743531,6.789906274444161
Pompiers,Malaise,00:00-03:00,49.35317956429456,6.4174484209041065
Gendarmerie,Chasse illégale,21:00-00:00,49.17706658177249,6.370442936474754
HeroX,Mission sous couverture,21:00-00:00,49.35189974888678,6.315820058088804
Gendarmerie,Accident agricole,07h00-11h00,49.37935419810703,6.102618505671146
Pompiers,Inondation,09h00-12h00,49.208103792108,6.610287364702272
CRS,Blocage de voie publique,00:00-03:00,49.036715446961566,6.665947843669285
Civil,Problème de copropriété,12h00-18h00,49.24205786516698,6.343649987493469
Police,Enlèvement,07h00-11h00,49.2833243742233,6.504314614469207
BAC,Interpellation de délinquant,21:00-00:00,49.393414113878336,6.828420901168268
BAC,Recherche de véhicule volé,07h00-11h00,49.12685895311084,6.065053775051756
Gendarmerie,Recherche en milieu rural,00:00-03:00,48.92902464729469,6.54865152607417
SAMU,Brûlure grave,00:00-03:00,49.2788019193404,6.741507128833867
HeroZ,Gestion de crise biologique,21:00-00:00,49.222300082341626,6.83388453746545
Pompiers,Sauvetage en hauteur,21:00-00:00,49.39790886867886,6.184500300618701
SAMU,Urgence médicale,09h00-12h00,49.236108287204026,6.558427962809166
Police,Viol,21:00-00:00,49.112612174100896,6.7804567514855245
Douanes,Fraude fiscale,00:00-03:00,49.05164147140292,6.670847869747518
CRS,Affrontements urbains,03:00-06:00,49.12179875280594,6.040418364974365
BAC,Recherche de véhicule volé,19h00-22h00,49.3931915929813,6.186591782101889
Pompiers,Effondrement de bâtiment,21:00-00:00,49.38243432717034,6.378320829520852
Civil,Signalement de maltraitance,21:00-04:30,48.909503041045774,6.534034729695405
SAMU,Crise d'épilepsie,03:00-06:00,49.32852447965547,6.324089791794012
Police,Braquage,19h00-22h00,49.24815120240173,6.265004133033847
Police,Conduite en état d'ivresse,03:00-06:00,49.37128064002152,6.580862065745977
Police,Homicide,21:00-04:30,49.06455158621847,6.356091866799585
SAMU,Tentative de suicide,19h00-22h00,49.03844384411895,6.252347157235512
Pompiers,Secours à personne,19h00-22h00,49.01605438359853,6.630130230980583
HeroX,Désamorçage d'engin explosif,03:00-06:00,49.00677938887548,6.415101970229181
HeroZ,Drones hostiles,21:00-04:30,49.06656335525864,6.435068476856022
Civil,Conflit professionnel,09h00-12h00,49.22243881806926,6.328582939060113
BAC,Délinquance urbaine,21:00-04:30,49.030494307839824,6.137729128283893
Douanes,Exportation illégale,09h00-12h00,49.02298214870375,6.812813714297129
SAMU,Allergie grave,07h00-11h00,49.347581503761766,6.495929664296838
HeroX,Sauvetage d'otages,00:00-03:00,49.17315411094516,6.243425158805287
SAMU,Noyade,00:00-03:00,49.33272788182577,6.821405693590494
Police,Blanchiment d'argent,09h00-12h00,49.0824582423646,6.349762058704563
Police,Extorsion,21:00-04:30,49.31797553581753,6.452799626811594
HeroX,Mission sous couverture,03:00-06:00,49.18891562891332,6.037197907892278
Civil,Problème de copropriété,21:00-04:30,49.0976541175446,6.591566148730262
HeroX,Neutralisation de tueur en série,00:00-03:00,49.04798221685508,6.375140244748923
Police,Atteinte aux biens,07h00-11h00,49.34757959752979,6.68027015109478
Civil,Dispute conjugale,21:00-04:30,49.02421845070015,6.782873676532802
Police,Vol de voiture,12h00-18h00,49.39287737916889,6.113291825848996
Gendarmerie,Violences conjugales,03:00-06:00,49.187834443826766,6.032187524470145
Civil,Tapage nocturne,21:00-04:30,49.30927537086243,6.727052138492964
SAMU,Traumatisme grave,21:00-00:00,48.94715918539836,6.615610907805287
Police,Menaces de mort,21:00-00:00,49.29715620200896,6.543951649437325
Pompiers,Évacuation,03:00-06:00,49.08053484823197,6.329905310843587
Gendarmerie,Violences conjugales,19h00-22h00,49.14466884184027,6.370717678374601
Pompiers,Incendie de véhicule,09h00-12h00,49.27497144501672,6.475324516255821
Pompiers,Noyade,21:00-00:00,49.02965423763016,6.444413904823584
Civil,Demande d'assistance,00:00-03:00,49.32429493935582,6.621651943449045
Police,Violences conjugales,21:00-00:00,49.301346924648506,6.001557862441293
SAMU,Hypothermie,07h00-11h00,49.12103825007188,6.297198591553577
CRS,Émeute,03:00-06:00,49.341986919734346,6.71408640729562
Civil,Difficultés sociales,21:00-04:30,48.99486440824671,6.141323912165028
CRS,Blocage de voie publique,03:00-06:00,49.28570670319834,6.065152967593179
Pompiers,Secours à personne,19h00-22h00,49.07472894312832,6.351992364771338
Police,Extorsion,00:00-03:00,48.96486341890573,6.072863417284129
SAMU,Tentative de suicide,12h00-18h00,49.21891167693117,6.17036451196581
Police,Vol de voiture,00:00-03:00,49.21295237869301,6.367510666022496
Police,Port d'arme illégal,21:00-00:00,49.32659311893548,6.702595217343893
SAMU,Accident corporel,21:00-00:00,48.962739923500585,6.0487566903957255
Civil,Nuissance sonore,07h00-11h00,49.24459986951145,6.4651341310043335
Douanes,Fraude aux subventions,21:00-04:30,49.23641772512335,6.819044660906484
Police,Homicide,19h00-22h00,49.0618430731239,6.761651491686338
BAC,Délinquance urbaine,09h00-12h00,49.35717613273616,6.536369313677048
Police,Blessures graves volontaires,07h00-11h00,49.03622832606096,6.390740503009647
SAMU,Polytraumatisme,09h00-12h00,49.002319855008665,6.26675266542376
CRS,Protection de bâtiment officiel,19h00-22h00,49.32135165115376,6.209545480818976
Gendarmerie,Recherche en milieu rural,07h00-11h00,49.17829261075022,6.642696605966815
HeroZ,Piratage de systèmes vitaux,21:00-00:00,49.13128514811556,6.73745299225068
BAC,Intervention rapide,21:00-00:00,49.119190752894745,6.066674339989561
Pompiers,Incendie domestique,03:00-06:00,49.0319621612117,6.004241413357584
Police,Menaces de mort,21:00-00:00,49.33494038897931,6.7795137743547365
Douanes,Fraude fiscale,21:00-04:30,49.231965760668245,6.783711915905736
Civil,Conflit professionnel,19h00-22h00,49.326696798975945,6.840510485273202
HeroP,Cyberattaque critique,03:00-06:00,49.23460239471295,6.722519001179539
HeroY,Renseignement stratégique,03:00-06:00,49.23663040533304,6.043138356867664
SAMU,Coup de chaleur,09h00-12h00,49.2929280656721,6.420514294757752
Police,Recherche de personne disparue,21:00-00:00,48.98033562481461,6.726959701331344
HeroY,Blanchiment international,21:00-00:00,49.18146523485931,6.058094949617846
Civil,Signalement d'incivilité,09h00-12h00,49.09117424956781,6.722598431094202
Gendarmerie,Vol de tracteur,12h00-18h00,49.26259541947629,6.0250095822981535
HeroX,Règlement de compte entre gangs,21:00-00:00,49.104333136276026,6.504068005939656
Pompiers,Incendie de véhicule,19h00-22h00,49.24312020798053,6.691825519167237
BAC,Lutte contre le trafic,21:00-00:00,49.13253061356142,6.499855775675416
SAMU,Malaise cardiaque,21:00-04:30,49.10254155636434,6.030918962549419
BAC,Trafics de quartier,09h00-12h00,49.269925103056536,6.397923373525639
SAMU,Accouchement inopiné,03:00-06:00,49.351938783416045,6.355040087100082
Douanes,Fraude aux subventions,21:00-04:30,49.27435545779816,6.686637720498022
SAMU,Electrocution,03:00-06:00,49.2621611021638,6.306184986008773
CRS,Blocage de voie publique,00:00-03:00,49.22058942282409,6.351840927998945
BAC,Recherche de véhicule volé,00:00-03:00,49.024593486559375,6.266948847050321
SAMU,Coup de chaleur,21:00-00:00,49.16475785987288,6.013594546504887
HeroP,Sécurisation après une prise d'otages,21:00-04:30,49.26670961299014,6.786966234628109
Police,Règlement de compte entre individus,09h00-12h00,48.929751965990405,6.228847974371538
CRS,Événement sportif à risque,19h00-22h00,48.98352987742969,6.470279043694262
Gendarmerie,Intrusion avec effraction,07h00-11h00,48.99382705266804,6.787865459612258
Pompiers,Inondation,09h00-12h00,49.009902230146686,6.522917611872581
Civil,Aide aux victimes,21:00-04:30,49.0632946332453,6.844334915624778
Pompiers,Accident de la route,21:00-04:30,48.99245222404761,6.810622179157415
CRS,Affrontements urbains,00:00-03:00,49.31880222706478,6.150517332371505
HeroY,Crime économique,00:00-03:00,49.01999949720872,6.87034701971018
Pompiers,Dégagement d'urgence,19h00-22h00,49.241670941208,6.8494214111047045
HeroY,Extraction de données sensibles,21:00-04:30,49.30525301747397,6.271244606066581
Gendarmerie,Accident agricole,00:00-03:00,49.1283927742315,6.139141740845891
CRS,Grève conflictuelle,03:00-06:00,49.071273050862445,6.142233113449571
Pompiers,Plan ORSEC,09h00-12h00,49.206004737608055,6.657189889727703
HeroY,Contre-terrorisme financier,21:00-04:30,49.21649687094467,6.0773512403031855
HeroX,Assaut terroriste,21:00-04:30,49.32031908944631,6.703025771300387
Gendarmerie,Conflit de voisinage rural,21:00-00:00,49.33246499093279,6.853105084463577
Pompiers,Évacuation,07h00-11h00,49.04631932428415,6.658365725369736
Police,Recherche de personne disparue,00:00-03:00,48.9818808208748,6.057854251608337
SAMU,Coup de chaleur,19h00-22h00,49.1302646599277,6.645340894003386
HeroP,Tentative de meurtre,21:00-00:00,48.91530636233817,6.522687271864879
SAMU,Overdose,09h00-12h00,49.06007937081641,6.156976391079372
Gendarmerie,Conflit de voisinage rural,09h00-12h00,49.05803244875638,6.374192408946328
SAMU,Brûlure grave,21:00-00:00,49.11843986254826,6.319228354578075
HeroZ,Cyberattaque critique,03:00-06:00,49.10967128173503,6.79859442321385
Pompiers,Incendie industriel,03:00-06:00,49.14414199512915,6.082056969879747
SAMU,Coup de chaleur,09h00-12h00,48.95056442699457,6.708866466167793
Police,Recel,21:00-04:30,48.91889559533048,6.620378162144437
Douanes,Blanchiment d'argent,19h00-22h00,49.124480974407085,6.839901972409182
Gendarmerie,Contrôle routier,09h00-12h00,49.022833411232135,6.568924007433112
